timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax
87,2011-12-31,40,30,39,36.54140081161108,0.14535103166372865,2011-11-29,18.42092333084498,0.7513663018466584,30,40
88,2012-02-03,40,30,29,36.505540387383824,0.14749170382583002,2012-01-01,17.469448221140894,0.7476311771636188,30,40
89,2012-03-08,40,30,16,36.49299073219299,0.06087771879955515,2012-02-04,16.62068736553192,0.37234809793592827,30,40
90,2012-04-11,40,30,20,36.513797760009766,0.07825722914459146,2012-03-09,16.884349822998047,0.4726970786736554,30,40
91,2012-05-14,40,30,16,36.5466742515564,0.09144135818019,2012-04-12,17.409687399864197,0.5097869185654519,30,40
92,2012-06-16,40,30,54,36.368624439945926,0.14240149565011284,2012-05-15,17.563555576183177,1.0180215180019403,30,40
93,2012-07-19,40,30,59,36.4470649331303,0.14527337821982647,2012-06-17,18.772135621410307,1.5581970436734758,30,40
94,2012-08-21,40,30,65,36.4954711327186,0.1507399746798335,2012-07-20,20.039938413179836,1.7221771211079238,30,40
95,2012-09-23,40,30,43,36.56078941877498,0.141970276579232,2012-08-22,20.941185973411383,2.155615564770679,30,40
96,2012-10-26,40,30,71,36.583156967163085,0.19239674961496983,2012-09-24,21.486718164363378,1.9853904847481592,30,40
97,2012-11-28,40,30,57,36.5723488121702,0.12889697656504845,2012-10-27,20.782736794990406,1.0578155138174408,30,40
98,2012-12-31,40,30,92,36.517192799112074,0.13729999174967739,2012-11-29,18.24386965710184,1.1153565843540265,30,40
99,2013-02-03,40,30,82,36.48526014932772,0.14243134027325288,2013-01-01,17.560536500884265,0.8798915408194371,30,40
100,2013-03-09,40,30,106,36.40555979170889,0.10190118299965635,2013-02-04,16.623792450383025,0.7425414894372487,30,40
101,2013-04-11,40,30,82,36.35103853737436,0.12270383998922056,2013-03-10,16.225536625559737,0.862966814053719,30,40
102,2013-05-14,40,30,78,36.35794918353741,0.11789384605049036,2013-04-12,17.150615423153607,0.7682314599445016,30,40
103,2013-06-16,40,30,83,36.46644835874259,0.09501472398185337,2013-05-15,17.950650686241058,0.6587167078310202,30,40
104,2013-07-19,40,30,96,36.50755715370178,0.11070786923617182,2013-06-17,19.087145884831745,0.7187056269128869,30,40
105,2013-08-21,40,30,96,36.56473672389984,0.12672420350835464,2013-07-20,20.53095841407776,1.0773004375795956,30,40
106,2013-09-23,40,30,100,36.66438896179199,0.13037768212372344,2013-08-22,21.707980003356933,0.8486440334818041,30,40
107,2013-10-26,40,30,100,36.5895658493042,0.18639961147610645,2013-09-24,21.924690074920655,0.6616211273219113,30,40
108,2013-11-28,40,30,101,36.62215185637521,0.11077016671005427,2013-10-27,20.72854444296053,0.8523545340350428,30,40
109,2013-12-31,40,30,108,36.58040682474772,0.1198188964245419,2013-11-29,18.882925863619203,0.8404680719116031,30,40
110,2014-02-03,40,30,111,36.53280935201559,0.1036620726990898,2014-01-01,17.783279272887082,0.6823933796812186,30,40
111,2014-03-09,40,30,97,36.630092384888954,0.5479096256660114,2014-02-04,16.424577241091384,1.239376967512206,30,40
112,2014-04-11,40,30,79,36.435219100759,0.1062207850790375,2014-03-10,16.676025149188465,0.5883851766948062,30,40
113,2014-05-14,40,30,78,36.43743549249111,0.08961113074674334,2014-04-12,17.47129481878036,0.6800629809412557,30,40
114,2014-06-16,40,30,79,36.43064281608485,0.1762897058768471,2014-05-15,18.235037984727303,1.0383498152173145,30,40
115,2014-07-19,40,30,87,36.50917447846511,0.19610480028162305,2014-06-17,19.871183899627336,1.0511294512586828,30,40
116,2014-08-21,40,30,118,36.559925887544274,0.1557221771801296,2014-07-20,21.29665250293279,0.6475694201585203,30,40
117,2014-09-23,40,30,105,36.492710295177645,0.1817243513088228,2014-08-22,22.190447652907597,0.994577577165843,30,40
118,2014-10-26,40,30,124,36.62067724043323,0.16932972908500463,2014-09-24,22.76765323454334,0.6803477048480687,30,40
119,2014-11-28,40,30,141,36.554619809414476,0.16398914280588403,2014-10-27,21.300765950629053,1.0224216396950134,30,40
120,2014-12-31,40,30,160,36.45477170944214,0.15379249784750262,2014-11-29,18.25569369792938,0.8373929612203905,30,40
121,2015-02-03,40,30,99,36.44368986649947,0.13595866677402174,2015-01-01,17.071504987851537,0.6192732092463265,30,40
122,2015-03-09,40,30,110,36.31983455311168,0.18287281903319255,2015-02-04,16.05189999667081,0.6521321751490138,30,40
123,2015-04-11,40,30,87,36.35918549285538,0.14534239429560208,2015-03-10,16.077574653187018,0.7357340716278705,30,40
124,2015-05-14,40,30,85,36.383623863669,0.11795709741360405,2015-04-12,16.896035284154557,0.5796763003813155,30,40
125,2015-06-16,40,30,92,36.41623998724896,0.1783410787267881,2015-05-15,18.189326037531313,0.9423333929847153,30,40
126,2015-07-19,40,30,83,36.3887114467391,0.20126193279791793,2015-06-17,19.279602487403228,1.22995561934674,30,40
127,2015-08-21,40,30,118,36.49502544079797,0.2755708598954821,2015-07-20,21.030940686242054,1.6833940977383177,30,40
128,2015-09-23,40,30,78,36.52650001721504,0.29879223833369634,2015-08-22,22.006910226283928,1.8953984908733463,30,40
129,2015-10-26,40,30,56,36.617928232465474,0.16909511059463314,2015-09-24,22.538857119424,1.0755140956768707,30,40
130,2015-11-28,40,30,46,36.46913030873174,0.14051466232361443,2015-10-27,20.30480442876401,1.0757155904107567,30,40
131,2015-12-31,40,30,56,36.442839350019185,0.16312824181395977,2015-11-29,18.818945416537197,0.9081483983533153,30,40
132,2016-02-03,40,30,56,36.37901769365583,0.14928934973503352,2016-01-01,17.718339238848007,0.8358562458393722,30,40
133,2016-03-08,40,30,47,36.404382827434134,0.14332195354050753,2016-02-04,17.06765952008836,0.9552123610458848,30,40
134,2016-04-11,40,30,39,36.39943587474334,0.16357406186270085,2016-03-09,16.571153811919384,0.9114647032243735,30,40
135,2016-05-14,40,30,34,36.46788204417509,0.07496994695298685,2016-04-12,17.553500119377585,0.5627199233938392,30,40
136,2016-06-16,40,30,31,36.4461289682696,0.12731649513389862,2016-05-15,18.41287108390562,0.8497126609430463,30,40
137,2016-07-19,40,30,30,36.50286687215169,0.16007691416564754,2016-06-17,20.180833117167154,0.711969686311228,30,40
138,2016-08-21,40,30,46,36.50097797227942,0.12944391856413587,2016-07-20,20.782347844994586,1.6600791234450762,30,40
139,2016-09-23,40,30,54,36.543685065375435,0.12518049577473903,2016-08-22,22.06301851625796,1.5507878041525205,30,40
140,2016-10-26,40,30,64,36.349515199661255,0.2052994007038774,2016-09-24,19.742125004529953,1.7958449951531212,30,40
141,2016-11-28,40,30,38,36.50636863708496,0.16859532186538925,2016-10-27,20.739894666169818,0.8868983678210445,30,40
142,2016-12-31,40,30,16,36.50093746185303,0.10244205212878126,2016-11-29,19.187999963760376,0.6370505078108036,30,40
143,2017-02-03,40,30,19,36.45089500828793,0.08146428367021517,2017-01-01,17.626263166728773,0.620170660789853,30,40
144,2017-03-09,40,30,18,36.407777574327255,0.08609716361810374,2017-02-04,16.89927774005466,0.5658901388318492,30,40
145,2017-04-11,40,30,19,36.34005255448191,0.1645067889192579,2017-03-10,16.612315880624873,0.6442868892109365,30,40
146,2017-05-14,40,30,22,36.41240900213068,0.10941998677314431,2017-04-12,17.676227352835916,0.8497414622021634,30,40
147,2017-06-16,40,30,20,36.489749908447266,0.1386568687021597,2017-05-15,19.30634984970093,1.0457248812556266,30,40
148,2017-07-19,40,30,16,36.5471875667572,0.11729845299200152,2017-06-17,20.931812524795532,0.6399809265060573,30,40
149,2017-08-21,40,30,15,36.58259963989258,0.19468429854528418,2017-07-20,21.82293332417806,1.0100348233220888,30,40
150,2017-09-23,40,30,34,36.60679458169376,0.14871632860595574,2017-08-22,22.234441252315747,0.7252363995227825,30,40
151,2017-10-26,40,30,34,36.626294640933764,0.1543718099818229,2017-09-24,22.130882263183594,0.5106084475764499,30,40
152,2017-11-28,40,30,47,36.54933978141622,0.1966303264396269,2017-10-27,20.830999983117934,0.9605928996039782,30,40
153,2017-12-31,40,30,36,36.549667040506996,0.13939019510865902,2017-11-29,19.44047212600708,0.6430319436162377,30,40
154,2018-02-03,40,30,28,36.55860710144043,0.1181293865765555,2018-01-01,18.358142920902797,0.6454904866525198,30,40
155,2018-03-09,40,30,44,36.45297674699263,0.09761350918850586,2018-02-04,16.973045457493175,0.5142378547845573,30,40
156,2018-04-11,40,30,54,36.447814800121165,0.11385606383884943,2018-03-10,17.07448152259544,0.6369587267953053,30,40
157,2018-05-14,40,30,7,36.50071389334543,0.2738409274690259,2018-04-12,17.399285997663224,1.3987246041269734,30,40
